demographic,count,count_proportion,demo_proportion,stop_liklihood
Asian,1,0.013513513513513514,0.13,0.10395010395010396
Black or African American,18,0.24324324324324326,0.035,6.949806949806949
Hispanic or Latino (of any race),7,0.0945945945945946,0.049,1.9305019305019306
unknown,2,0.02702702702702703,0.031,0.8718395815170009
White,46,0.6216216216216216,0.8029999999999999,0.7741240617952947
